COD_CLIENTE;COD_PEDIDO;CODIGO_PRODUTO;DEPTO;QUANTIDADE;VALOR_UNITARIO;QTD_PARCELAS;DT_PEDIDO;MEIO_PAGTO;STATUS_PAGAMENTO
31;10;0;AUDIO;4;3874.00;6;13/01/2019;DINHEIRO;CANCELADO
31;10;0;INFORMATICA;4;413.08;1;13/01/2019;DINHEIRO;CANCELADO
25;25;0;TELEFONIA;4;0.00;1;30/12/2018;DINHEIRO;CANCELADO
25;25;0;AUDIO;4;3513.00;4;30/12/2018;DINHEIRO;CANCELADO
21;32;0;AUDIO;4;726.00;1;18/12/2018;CC;CANCELADO
21;32;0;INFORMATICA;4;74.74;1;18/12/2018;CC;CANCELADO
51;35;0;AUDIO;4;1148.00;2;28/06/2019;DINHEIRO;CANCELADO
51;35;0;LIVROS;4;119.08;1;28/06/2019;DINHEIRO;CANCELADO
93859;36;0;AUDIO;4;236.50;1;20/03/2019;CC;CANCELADO
93859;36;0;INFORMATICA;4;2258.00;5;20/03/2019;CC;CANCELADO
54;41;0;AUDIO;4;540.00;1;04/01/2019;A VISTA;CANCELADO
54;41;0;INFORMATICA;4;56.14;1;04/01/2019;A VISTA;CANCELADO
52;43;0;AUDIO;4;250.88;1;12/04/2019;DINHEIRO;CANCELADO
52;43;0;INFORMATICA;4;2466.00;2;12/04/2019;DINHEIRO;CANCELADO
53;44;0;INFORMATICA;4;3952.00;3;25/04/2019;A VISTA;CANCELADO
53;44;0;UTILIDADES;4;401.62;1;25/04/2019;A VISTA;CANCELADO
62448;46;0;INFORMATICA;4;0.00;1;28/01/2019;CC;CANCELADO
62448;46;0;UTILIDADES;4;954.00;2;28/01/2019;CC;CANCELADO
61579;47;0;INFORMATICA;4;1184.00;1;09/03/2019;CC;CANCELADO
61579;47;0;LIVROS;4;126.96;1;09/03/2019;CC;CANCELADO
61;51;0;AUDIO;4;3162.00;3;29/12/2018;A VISTA;CANCELADO
61;51;0;INFORMATICA;4;322.62;1;29/12/2018;A VISTA;CANCELADO
52;53;0;AUDIO;4;2677.00;3;14/02/2019;DINHEIRO;CANCELADO
52;53;0;BELEZA;4;274.12;1;14/02/2019;DINHEIRO;CANCELADO
52;59;0;INFORMATICA;4;1575.00;3;24/01/2019;DINHEIRO;CANCELADO
52;59;0;INFORMATICA;4;163.92;1;24/01/2019;DINHEIRO;CANCELADO
53;61;0;INFORMATICA;4;213.76;1;20/03/2019;A VISTA;CANCELADO
53;61;0;ACESSORIOS;4;2052.00;4;20/03/2019;A VISTA;CANCELADO
64;63;0;AUDIO;4;0.00;1;08/02/2019;A VISTA;CANCELADO
64;63;0;AUDIO;4;4081.00;4;08/02/2019;A VISTA;CANCELADO
52;70;0;TELEFONIA;4;1098.00;2;22/02/2019;DINHEIRO;CANCELADO
52;70;0;INFORMATICA;4;114.08;1;22/02/2019;DINHEIRO;CANCELADO
53;71;0;INFORMATICA;4;199.12;1;11/04/2019;A VISTA;CANCELADO
53;71;0;INFORMATICA;4;1927.00;3;11/04/2019;A VISTA;CANCELADO
53;73;0;TELEFONIA;4;5442.00;4;25/01/2019;A VISTA;CANCELADO
53;73;0;INFORMATICA;4;0.00;1;25/01/2019;A VISTA;CANCELADO
52;74;0;AUDIO;4;185.22;1;14/01/2019;DINHEIRO;CANCELADO
52;74;0;INFORMATICA;4;1788.00;3;14/01/2019;DINHEIRO;CANCELADO
53;77;0;INFORMATICA;4;248.96;1;10/04/2019;A VISTA;CANCELADO
53;77;0;INFORMATICA;4;2404.00;4;10/04/2019;A VISTA;CANCELADO
22;78;0;INFORMATICA;4;3483.00;7;20/01/2019;BOLETO;CANCELADO
22;78;0;INFORMATICA;4;363.28;1;20/01/2019;BOLETO;CANCELADO
69;81;0;BELEZA;4;296.00;1;01/07/2019;A VISTA;CANCELADO
69;81;0;BELEZA;4;31.74;1;01/07/2019;A VISTA;CANCELADO
62615;1086;0;INFORMATICA;4;448.56;1;01/03/2019;DINHEIRO;CANCELADO
62615;1086;0;INFORMATICA;4;4400.00;4;01/03/2019;DINHEIRO;CANCELADO
1071;1087;0;AUDIO;4;172.48;1;23/12/2018;CC;CANCELADO
1071;1087;0;AUDIO;4;1682.00;1;23/12/2018;CC;CANCELADO
69;1089;0;TELEFONIA;4;52.44;1;28/01/2019;A VISTA;CANCELADO
69;1089;0;INFORMATICA;4;503.00;1;28/01/2019;A VISTA;CANCELADO
1071;1091;0;AUDIO;4;86.24;1;23/12/2018;CC;CANCELADO
1071;1091;0;INFORMATICA;4;841.00;1;23/12/2018;CC;CANCELADO
53;1094;0;AUDIO;4;1927.00;3;25/04/2019;A VISTA;CANCELADO
53;1094;0;BELEZA;4;199.12;1;25/04/2019;A VISTA;CANCELADO
1075;1096;0;TELEFONIA;4;617.00;1;21/12/2018;CC;CANCELADO
1075;1096;0;TELEFONIA;4;0.00;1;21/12/2018;CC;CANCELADO
52;1099;0;INFORMATICA;4;166.48;1;08/03/2019;DINHEIRO;CANCELADO
52;1099;0;UTILIDADES;4;1622.00;2;08/03/2019;DINHEIRO;CANCELADO
1077;1105;0;AUDIO;4;10740.00;4;28/12/2018;A VISTA;CANCELADO
1077;1105;0;AUDIO;4;1082.56;1;28/12/2018;A VISTA;CANCELADO
69;1106;0;AUDIO;4;132.74;1;02/01/2019;A VISTA;CANCELADO
69;1106;0;UTILIDADES;4;1306.00;1;02/01/2019;A VISTA;CANCELADO
1080;1110;0;AUDIO;4;1738.00;4;12/01/2019;A VISTA;CANCELADO
1080;1110;0;INFORMATICA;4;182.36;1;12/01/2019;A VISTA;CANCELADO
94092;1111;0;AUDIO;4;448.00;1;17/01/2019;CC;CANCELADO
94092;1111;0;BELEZA;4;46.94;1;17/01/2019;CC;CANCELADO
1083;1113;0;INFORMATICA;4;0.00;1;06/01/2019;A VISTA;CANCELADO
1083;1113;0;MODA;4;477.00;1;06/01/2019;A VISTA;CANCELADO
1082;1115;0;INFORMATICA;4;127.36;1;18/02/2019;A VISTA;CANCELADO
1082;1115;0;INFORMATICA;4;1188.00;4;18/02/2019;A VISTA;CANCELADO
1087;1119;0;TELEFONIA;4;176.78;1;03/01/2019;A VISTA;CANCELADO
1087;1119;0;AUDIO;4;503.00;1;03/01/2019;A VISTA;CANCELADO
1087;1119;0;AUDIO;4;1222.00;1;03/01/2019;A VISTA;CANCELADO
1085;1128;0;INFORMATICA;4;93.88;1;13/01/2019;A VISTA;CANCELADO
1085;1128;0;INFORMATICA;4;896.00;1;13/01/2019;A VISTA;CANCELADO
63884;1130;0;AUDIO;4;595.90;1;20/12/2019;CC;CANCELADO
63884;1130;0;INFORMATICA;4;5852.00;5;20/12/2019;CC;CANCELADO
1098;1138;0;TELEFONIA;4;141.48;1;25/01/2019;A VISTA;CANCELADO
1098;1138;0;AUDIO;4;1372.00;2;25/01/2019;A VISTA;CANCELADO
1100;1139;0;INFORMATICA;4;2744.00;2;12/04/2019;DINHEIRO;CANCELADO
1100;1139;0;INFORMATICA;4;0.00;1;12/04/2019;DINHEIRO;CANCELADO
1099;1140;0;TELEFONIA;4;285.44;1;28/07/2019;DINHEIRO;CANCELADO
1099;1140;0;INFORMATICA;4;2726.00;6;28/07/2019;DINHEIRO;CANCELADO
22;1141;0;INFORMATICA;4;149.28;1;26/04/2019;BOLETO;CANCELADO
22;1141;0;INFORMATICA;4;1450.00;2;26/04/2019;BOLETO;CANCELADO
64;1144;0;INFORMATICA;4;4081.00;4;08/02/2019;A VISTA;CANCELADO
64;1144;0;INFORMATICA;4;0.00;1;08/02/2019;A VISTA;CANCELADO
69;1145;0;INFORMATICA;4;55.64;1;28/01/2019;A VISTA;CANCELADO
69;1145;0;INFORMATICA;4;535.00;1;28/01/2019;A VISTA;CANCELADO
1098;1147;0;AUDIO;4;99.68;1;08/03/2019;A VISTA;CANCELADO
1098;1147;0;AUDIO;4;954.00;2;08/03/2019;A VISTA;CANCELADO
1102;1148;0;INFORMATICA;4;1469.24;1;20/12/2019;DINHEIRO;CANCELADO
1102;1148;0;BELEZA;4;14564.00;6;20/12/2019;DINHEIRO;CANCELADO
63884;1153;0;AUDIO;4;5852.00;5;20/12/2019;CC;CANCELADO
63884;1153;0;BELEZA;4;595.90;1;20/12/2019;CC;CANCELADO
68;1157;0;AUDIO;4;149.52;1;18/02/2019;A VISTA;CANCELADO
68;1157;0;INFORMATICA;4;1431.00;3;18/02/2019;A VISTA;CANCELADO
1105;1162;0;INFORMATICA;4;2286.00;3;13/01/2019;DINHEIRO;CANCELADO
1105;1162;0;INFORMATICA;4;235.02;1;13/01/2019;DINHEIRO;CANCELADO
1107;1165;0;ACESSORIOS;4;301.96;1;10/02/2019;DINHEIRO;CANCELADO
1107;1165;0;ACESSORIOS;4;2934.00;4;10/02/2019;DINHEIRO;CANCELADO
1109;1167;0;AUDIO;4;89.54;1;27/12/2018;DINHEIRO;CANCELADO
1109;1167;0;INFORMATICA;4;874.00;1;27/12/2018;DINHEIRO;CANCELADO
1098;1172;0;INFORMATICA;4;487.36;1;03/11/2019;DINHEIRO;CANCELADO
1098;1172;0;ACESSORIOS;4;4788.00;4;03/11/2019;DINHEIRO;CANCELADO
61586;1176;0;AUDIO;4;418.00;1;09/03/2019;CC;CANCELADO
61586;1176;0;INFORMATICA;4;43.94;1;09/03/2019;CC;CANCELADO
1116;1178;0;INFORMATICA;4;118.02;1;04/02/2019;DINHEIRO;CANCELADO
1116;1178;0;MODA;4;1116.00;3;04/02/2019;DINHEIRO;CANCELADO
64;1180;0;AUDIO;4;4081.00;4;08/02/2019;A VISTA;CANCELADO
64;1180;0;AUDIO;4;408.10;1;08/02/2019;A VISTA;CANCELADO
1118;1182;0;INFORMATICA;4;1680.00;1;28/12/2018;DINHEIRO;CANCELADO
1118;1182;0;INFORMATICA;4;168.00;1;28/12/2018;DINHEIRO;CANCELADO
1107;1184;0;BELEZA;4;187.36;1;10/02/2019;DINHEIRO;CANCELADO
1107;1184;0;BELEZA;4;1788.00;4;10/02/2019;DINHEIRO;CANCELADO
1121;1185;0;BELEZA;4;2757.00;3;04/08/2019;DINHEIRO;CANCELADO
1121;1185;0;ACESSORIOS;4;282.12;1;04/08/2019;DINHEIRO;CANCELADO
1123;1188;0;TELEFONIA;4;6354.00;3;04/01/2019;DINHEIRO;CANCELADO
1123;1188;0;INFORMATICA;4;648.24;1;04/01/2019;DINHEIRO;CANCELADO
1124;1189;0;AUDIO;4;256.74;1;28/12/2018;DINHEIRO;CANCELADO
1124;1189;0;INFORMATICA;4;2546.00;1;28/12/2018;DINHEIRO;CANCELADO
22;1191;0;AUDIO;4;114.08;1;25/01/2019;CC;CANCELADO
22;1191;0;BELEZA;4;1098.00;2;25/01/2019;A VISTA;CANCELADO
1126;1193;0;AUDIO;4;49.84;1;11/09/2019;DINHEIRO;CANCELADO
1126;1193;0;UTILIDADES;4;477.00;1;11/09/2019;DINHEIRO;CANCELADO
1127;1196;0;INFORMATICA;4;1251.60;1;28/12/2018;DINHEIRO;CANCELADO
1127;1196;0;INFORMATICA;4;12409.00;5;28/12/2018;DINHEIRO;CANCELADO
1128;1197;0;INFORMATICA;4;2384.00;2;14/01/2019;DINHEIRO;CANCELADO
1128;1197;0;INFORMATICA;4;238.40;1;14/01/2019;DINHEIRO;CANCELADO
1129;1199;0;INFORMATICA;4;116.28;1;13/01/2019;DINHEIRO;CANCELADO
1129;1199;0;INFORMATICA;4;1120.00;2;13/01/2019;DINHEIRO;CANCELADO
1133;1203;0;AUDIO;4;2480.00;3;22/03/2019;DINHEIRO;CANCELADO
1133;1203;0;MODA;4;254.42;1;22/03/2019;DINHEIRO;CANCELADO
62454;1204;0;AUDIO;4;3789.00;3;16/06/2019;CC;CANCELADO
62454;1204;0;INFORMATICA;4;385.32;1;16/06/2019;CC;CANCELADO
1141;1211;0;INFORMATICA;4;1236.00;1;20/01/2019;DINHEIRO;CANCELADO
1141;1211;0;INFORMATICA;4;123.60;1;20/01/2019;DINHEIRO;CANCELADO
1140;1212;0;AUDIO;4;399.50;1;02/02/2019;DINHEIRO;CANCELADO
1140;1212;0;INFORMATICA;4;42.09;1;02/02/2019;DINHEIRO;CANCELADO
61307;1213;0;AUDIO;4;1647.00;3;11/06/2019;CC;CANCELADO
61307;1213;0;INFORMATICA;4;171.12;1;11/06/2019;CC;CANCELADO
1148;1221;0;TELEFONIA;4;5512.00;6;13/01/2019;DINHEIRO;CANCELADO
1148;1221;0;BELEZA;4;576.88;1;13/01/2019;DINHEIRO;CANCELADO
1149;1222;0;BELEZA;4;1173.00;2;05/01/2019;DINHEIRO;CANCELADO
1149;1222;0;UTILIDADES;4;121.58;1;05/01/2019;DINHEIRO;CANCELADO
1152;1225;0;AUDIO;4;175.76;1;04/03/2019;DINHEIRO;CANCELADO
1152;1225;0;ACESSORIOS;4;1672.00;4;04/03/2019;DINHEIRO;CANCELADO
1155;1230;0;AUDIO;4;535.00;1;01/01/2019;DINHEIRO;CANCELADO
1155;1230;0;BELEZA;4;55.64;1;01/01/2019;DINHEIRO;CANCELADO
1098;1232;0;AUDIO;4;1575.00;3;28/03/2019;A VISTA;CANCELADO
1098;1232;0;INFORMATICA;4;163.92;1;28/03/2019;A VISTA;CANCELADO
1098;1236;0;INFORMATICA;4;199.36;1;17/02/2019;CC;CANCELADO
1098;1236;0;INFORMATICA;4;1908.00;4;17/02/2019;CC;CANCELADO
1098;1238;0;INFORMATICA;4;199.12;1;25/04/2019;A VISTA;CANCELADO
1098;1238;0;BELEZA;4;1927.00;3;25/04/2019;A VISTA;CANCELADO
1157;1239;0;AUDIO;4;240.48;1;24/01/2019;DINHEIRO;CANCELADO
1157;1239;0;INFORMATICA;4;2362.00;2;24/01/2019;DINHEIRO;CANCELADO
52;1240;0;INFORMATICA;4;190.88;1;25/01/2019;DINHEIRO;CANCELADO
52;1240;0;UTILIDADES;4;1866.00;2;25/01/2019;DINHEIRO;CANCELADO
1158;1242;0;AUDIO;4;1115.80;1;09/01/2019;DINHEIRO;CANCELADO
1158;1242;0;INFORMATICA;4;10944.00;5;09/01/2019;DINHEIRO;CANCELADO
1098;1247;0;INFORMATICA;4;2630.00;2;22/01/2019;A VISTA;CANCELADO
1098;1247;0;INFORMATICA;4;263.00;1;22/01/2019;A VISTA;CANCELADO
